company_id,revenue_cagr_3yr,revenue_flag_3yr,profit_cagr_3yr,profit_flag_3yr,eps_cagr_3yr,eps_flag_3yr,revenue_cagr_5yr,revenue_flag_5yr,profit_cagr_5yr,profit_flag_5yr,eps_cagr_5yr,eps_flag_5yr,revenue_cagr_10yr,revenue_flag_10yr,profit_cagr_10yr,profit_flag_10yr,eps_cagr_10yr,eps_flag_10yr
ABB,10.71,NORMAL,20.23,NORMAL,20.24,NORMAL,9.72,NORMAL,21.69,NORMAL,21.66,NORMAL,9.9,NORMAL,19.75,NORMAL,19.77,NORMAL
ADANIENSOL,18.72,NORMAL,-2.49,NORMAL,-3.13,NORMAL,17.85,NORMAL,16.43,NORMAL,14.87,NORMAL,,ZERO_BASE,,ZERO_BASE,,ZERO_BASE
ADANIENT,34.6,NORMAL,47.18,NORMAL,51.83,NORMAL,19.02,NORMAL,45.81,NORMAL,31.95,NORMAL,5.78,NORMAL,2.34,NORMAL,3.42,NORMAL
ADANIGREEN,43.44,NORMAL,90.59,NORMAL,91.29,NORMAL,34.98,NORMAL,,TURNAROUND,,TURNAROUND,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA
ADANIPORTS,8.6,NORMAL,14.55,NORMAL,14.98,NORMAL,9.31,NORMAL,10.35,NORMAL,10.56,NORMAL,9.35,NORMAL,7.2,NORMAL,7.18,NORMAL
ADANIPOWER,24.29,NORMAL,154.07,NORMAL,162.07,NORMAL,16.09,NORMAL,,TURNAROUND,,TURNAROUND,12.63,NORMAL,,TURNAROUND,,TURNAROUND
AMBUJACEM,10.59,NORMAL,15.1,NORMAL,10.06,NORMAL,4.95,NORMAL,9.77,NORMAL,7.78,NORMAL,13.73,NORMAL,14.0,NORMAL,7.18,NORMAL
APOLLOHOSP,21.75,NORMAL,89.68,NORMAL,84.69,NORMAL,14.66,NORMAL,36.13,NORMAL,29.95,NORMAL,15.9,NORMAL,11.49,NORMAL,10.6,NORMAL
ASIANPAINT,17.8,NORMAL,20.12,NORMAL,19.98,NORMAL,13.03,NORMAL,20.28,NORMAL,20.97,NORMAL,11.25,NORMAL,15.97,NORMAL,15.93,NORMAL
ATGL,38.18,NORMAL,13.0,NORMAL,14.47,NORMAL,21.09,NORMAL,23.88,NORMAL,24.57,NORMAL,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA
AXISBANK,19.97,NORMAL,55.69,NORMAL,54.41,NORMAL,14.74,NORMAL,39.67,NORMAL,35.1,NORMAL,13.57,NORMAL,14.86,NORMAL,12.03,NORMAL
BAJAJ-AUTO,17.38,NORMAL,16.64,NORMAL,18.0,NORMAL,8.13,NORMAL,9.36,NORMAL,10.18,NORMAL,8.34,NORMAL,8.59,NORMAL,8.96,NORMAL
BAJAJFINSV,22.13,NORMAL,28.4,NORMAL,22.12,NORMAL,20.97,NORMAL,23.75,NORMAL,20.59,NORMAL,33.75,NORMAL,21.68,NORMAL,17.69,NORMAL
BAJAJHLDNG,55.01,NORMAL,26.32,NORMAL,25.8,NORMAL,31.61,NORMAL,19.3,NORMAL,18.97,NORMAL,14.94,NORMAL,13.99,NORMAL,13.82,NORMAL
BAJFINANCE,27.26,NORMAL,48.42,NORMAL,47.23,NORMAL,24.35,NORMAL,29.32,NORMAL,27.56,NORMAL,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA
BANKBARODA,16.79,NORMAL,126.68,NORMAL,128.94,NORMAL,17.48,NORMAL,74.51,NORMAL,55.18,NORMAL,11.33,NORMAL,14.12,NORMAL,4.58,NORMAL
BEL,12.83,NORMAL,23.8,NORMAL,18.56,NORMAL,10.75,NORMAL,16.13,NORMAL,10.76,NORMAL,12.01,NORMAL,15.39,NORMAL,17.46,NORMAL
BHARTIARTL,14.23,NORMAL,,TURNAROUND,,TURNAROUND,13.17,NORMAL,38.36,NORMAL,67.03,NORMAL,5.74,NORMAL,10.98,NORMAL,10.03,NORMAL
BHEL,11.34,NORMAL,,TURNAROUND,,TURNAROUND,-4.73,NORMAL,-22.4,NORMAL,-19.73,NORMAL,-4.92,NORMAL,-22.27,NORMAL,-20.57,NORMAL
BOSCHLTD,19.84,NORMAL,72.87,NORMAL,72.65,NORMAL,6.72,NORMAL,9.28,NORMAL,9.26,NORMAL,6.69,NORMAL,10.9,NORMAL,11.59,NORMAL
BPCL,24.86,NORMAL,15.75,NORMAL,18.78,NORMAL,8.48,NORMAL,25.79,NORMAL,28.06,NORMAL,5.42,NORMAL,20.82,NORMAL,21.29,NORMAL
BRITANNIA,8.48,NORMAL,4.86,NORMAL,4.95,NORMAL,8.69,NORMAL,13.06,NORMAL,13.14,NORMAL,9.27,NORMAL,18.37,NORMAL,18.72,NORMAL
CANBK,16.3,NORMAL,73.34,NORMAL,61.98,NORMAL,18.18,NORMAL,85.78,NORMAL,53.42,NORMAL,10.82,NORMAL,19.14,NORMAL,5.45,NORMAL
CHOLAFIN,25.99,NORMAL,31.01,NORMAL,29.22,NORMAL,21.94,NORMAL,23.36,NORMAL,22.28,NORMAL,19.31,NORMAL,24.97,NORMAL,23.42,NORMAL
CIPLA,10.39,NORMAL,20.25,NORMAL,19.35,NORMAL,9.51,NORMAL,22.73,NORMAL,21.83,NORMAL,9.74,NORMAL,11.46,NORMAL,11.61,NORMAL
COALINDIA,16.49,NORMAL,43.29,NORMAL,42.68,NORMAL,7.4,NORMAL,16.43,NORMAL,16.85,NORMAL,7.26,NORMAL,9.48,NORMAL,9.78,NORMAL
DABUR,9.06,NORMAL,2.23,NORMAL,0.0,NORMAL,7.81,NORMAL,4.6,NORMAL,4.56,NORMAL,5.8,NORMAL,7.05,NORMAL,7.18,NORMAL
DIVISLAB,4.03,NORMAL,-6.92,NORMAL,-7.17,NORMAL,9.66,NORMAL,3.41,NORMAL,3.3,NORMAL,11.97,NORMAL,7.55,NORMAL,7.54,NORMAL
DLF,5.88,NORMAL,36.0,NORMAL,40.1,NORMAL,-5.14,NORMAL,15.7,NORMAL,12.89,NORMAL,-2.52,NORMAL,16.53,NORMAL,10.65,NORMAL
DMART,28.13,NORMAL,32.14,NORMAL,31.89,NORMAL,20.48,NORMAL,22.97,NORMAL,22.74,NORMAL,26.91,NORMAL,31.74,NORMAL,29.24,NORMAL
DRREDDY,13.72,NORMAL,41.91,NORMAL,42.82,NORMAL,12.64,NORMAL,23.39,NORMAL,23.84,NORMAL,7.64,NORMAL,11.01,NORMAL,11.28,NORMAL
EICHERMOT,23.78,NORMAL,43.75,NORMAL,43.9,NORMAL,11.04,NORMAL,12.68,NORMAL,12.51,NORMAL,9.28,NORMAL,22.52,NORMAL,25.55,NORMAL
GAIL,32.42,NORMAL,17.25,NORMAL,18.56,NORMAL,11.83,NORMAL,8.61,NORMAL,8.45,NORMAL,7.99,NORMAL,7.54,NORMAL,7.92,NORMAL
GODREJCP,8.52,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,6.45,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,6.37,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
GRASIM,19.68,NORMAL,12.42,NORMAL,10.5,NORMAL,11.15,NORMAL,29.31,NORMAL,27.73,NORMAL,16.54,NORMAL,12.89,NORMAL,6.81,NORMAL
HAL,9.91,NORMAL,32.85,NORMAL,33.42,NORMAL,8.71,NORMAL,26.49,NORMAL,26.64,NORMAL,7.22,NORMAL,10.92,NORMAL,15.07,NORMAL
HAVELLS,21.14,NORMAL,6.78,NORMAL,5.57,NORMAL,13.04,NORMAL,10.03,NORMAL,9.0,NORMAL,8.73,NORMAL,11.04,NORMAL,11.07,NORMAL
HCLTECH,13.4,NORMAL,12.04,NORMAL,12.26,NORMAL,12.71,NORMAL,9.19,NORMAL,9.41,NORMAL,13.08,NORMAL,9.18,NORMAL,9.69,NORMAL
HDFCBANK,30.19,NORMAL,27.12,NORMAL,13.14,NORMAL,21.95,NORMAL,23.87,NORMAL,15.42,NORMAL,20.89,NORMAL,22.26,NORMAL,16.65,NORMAL
HDFCLIFE,12.37,NORMAL,4.97,NORMAL,0.0,NORMAL,21.17,NORMAL,4.25,NORMAL,3.13,NORMAL,19.45,NORMAL,8.06,NORMAL,5.76,NORMAL
HEROMOTOCO,6.87,NORMAL,8.42,NORMAL,8.6,NORMAL,2.15,NORMAL,1.54,NORMAL,1.69,NORMAL,4.1,NORMAL,5.94,NORMAL,5.94,NORMAL
HINDALCO,17.83,NORMAL,42.86,NORMAL,41.16,NORMAL,10.59,NORMAL,13.07,NORMAL,13.4,NORMAL,9.43,NORMAL,16.55,NORMAL,15.13,NORMAL
HINDUNILVR,9.59,NORMAL,8.73,NORMAL,8.97,NORMAL,9.5,NORMAL,11.15,NORMAL,9.46,NORMAL,7.79,NORMAL,10.02,NORMAL,9.35,NORMAL
ICICIBANK,21.4,NORMAL,31.29,NORMAL,32.64,NORMAL,17.25,NORMAL,51.95,NORMAL,55.18,NORMAL,12.42,NORMAL,14.71,NORMAL,14.0,NORMAL
ICICIGI,18.99,NORMAL,9.22,NORMAL,6.82,NORMAL,12.91,NORMAL,12.84,NORMAL,11.14,NORMAL,16.76,NORMAL,13.95,NORMAL,12.51,NORMAL
ICICIPRULI,2.78,NORMAL,-3.8,NORMAL,-5.01,NORMAL,16.85,NORMAL,-5.66,NORMAL,-5.59,NORMAL,15.23,NORMAL,-5.89,NORMAL,-5.88,NORMAL
INDIGO,67.58,NORMAL,,TURNAROUND,,TURNAROUND,19.31,NORMAL,120.69,NORMAL,121.24,NORMAL,20.01,NORMAL,32.93,NORMAL,-34.88,NORMAL
INDUSINDBK,16.41,NORMAL,46.68,NORMAL,45.94,NORMAL,15.5,NORMAL,22.08,NORMAL,15.9,NORMAL,18.68,NORMAL,20.32,NORMAL,15.59,NORMAL
INFY,15.22,NORMAL,10.56,NORMAL,11.87,NORMAL,13.2,NORMAL,11.24,NORMAL,12.47,NORMAL,11.85,NORMAL,9.43,NORMAL,10.6,NORMAL
IOC,28.73,NORMAL,25.64,NORMAL,25.99,NORMAL,8.01,NORMAL,20.1,NORMAL,20.11,NORMAL,4.74,NORMAL,20.01,NORMAL,19.62,NORMAL
IRCTC,76.47,NORMAL,81.12,NORMAL,91.29,NORMAL,17.96,NORMAL,29.17,NORMAL,28.47,NORMAL,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA
IRFC,19.1,NORMAL,13.24,NORMAL,18.56,NORMAL,19.07,NORMAL,23.25,NORMAL,20.11,NORMAL,15.7,NORMAL,24.77,NORMAL,-31.15,NORMAL
ITC,12.89,NORMAL,15.74,NORMAL,13.3,NORMAL,7.95,NORMAL,10.08,NORMAL,9.86,NORMAL,7.22,NORMAL,8.71,NORMAL,8.62,NORMAL
JINDALSTEL,13.35,NORMAL,11.68,NORMAL,17.23,NORMAL,1.4,NORMAL,,TURNAROUND,,TURNAROUND,10.07,NORMAL,12.1,NORMAL,10.69,NORMAL
JIOFIN,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA
JSWENERGY,18.39,NORMAL,27.98,NORMAL,25.99,NORMAL,4.68,NORMAL,20.32,NORMAL,20.11,NORMAL,2.88,NORMAL,8.54,NORMAL,7.18,NORMAL
JSWSTEEL,29.9,NORMAL,4.46,NORMAL,2.94,NORMAL,15.6,NORMAL,3.59,NORMAL,2.38,NORMAL,13.07,NORMAL,36.42,NORMAL,33.51,NORMAL
KOTAKBANK,19.66,NORMAL,22.16,NORMAL,22.54,NORMAL,13.52,NORMAL,20.38,NORMAL,19.34,NORMAL,16.72,NORMAL,21.84,NORMAL,19.12,NORMAL
LICI,6.98,NORMAL,139.62,NORMAL,111.26,NORMAL,8.16,NORMAL,73.18,NORMAL,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA
LODHA,23.71,NORMAL,218.72,NORMAL,151.98,NORMAL,-2.83,NORMAL,-1.12,NORMAL,-5.29,NORMAL,13.32,NORMAL,15.09,NORMAL,5.92,NORMAL
LT,17.59,NORMAL,6.36,NORMAL,5.03,NORMAL,10.34,NORMAL,8.76,NORMAL,8.56,NORMAL,10.03,NORMAL,12.27,NORMAL,10.5,NORMAL
LTIM,42.13,NORMAL,33.25,NORMAL,11.77,NORMAL,30.33,NORMAL,24.78,NORMAL,12.24,NORMAL,21.86,NORMAL,16.5,NORMAL,-6.67,NORMAL
M&M,23.25,NORMAL,100.95,NORMAL,82.38,NORMAL,5.84,NORMAL,15.32,NORMAL,16.18,NORMAL,6.51,NORMAL,9.06,NORMAL,9.13,NORMAL
MARUTI,26.32,NORMAL,45.39,NORMAL,43.56,NORMAL,10.51,NORMAL,12.01,NORMAL,11.14,NORMAL,12.28,NORMAL,16.8,NORMAL,16.39,NORMAL
MOTHERSON,19.82,NORMAL,24.39,NORMAL,25.99,NORMAL,9.21,NORMAL,7.56,NORMAL,5.92,NORMAL,12.49,NORMAL,10.66,NORMAL,7.18,NORMAL
NAUKRI,31.0,NORMAL,-25.13,NORMAL,-26.32,NORMAL,17.12,NORMAL,0.1,NORMAL,-2.13,NORMAL,16.16,NORMAL,25.79,NORMAL,18.59,NORMAL
NESTLEIND,18.28,NORMAL,22.91,NORMAL,23.06,NORMAL,14.55,NORMAL,14.85,NORMAL,15.44,NORMAL,9.49,NORMAL,12.75,NORMAL,13.07,NORMAL
NHPC,-0.06,NORMAL,3.82,NORMAL,10.06,NORMAL,1.4,NORMAL,7.27,NORMAL,5.92,NORMAL,2.69,NORMAL,9.45,NORMAL,14.87,NORMAL
NTPC,16.97,NORMAL,12.53,NORMAL,11.87,NORMAL,12.22,NORMAL,8.74,NORMAL,8.45,NORMAL,8.59,NORMAL,6.46,NORMAL,5.76,NORMAL
ONGC,24.86,NORMAL,38.79,NORMAL,44.22,NORMAL,7.0,NORMAL,10.97,NORMAL,10.2,NORMAL,13.01,NORMAL,7.91,NORMAL,6.39,NORMAL
PFC,8.49,NORMAL,18.97,NORMAL,18.56,NORMAL,11.08,NORMAL,15.92,NORMAL,14.87,NORMAL,15.64,NORMAL,17.09,NORMAL,13.44,NORMAL
PIDILITIND,19.3,NORMAL,15.77,NORMAL,15.62,NORMAL,11.84,NORMAL,13.49,NORMAL,13.56,NORMAL,11.2,NORMAL,14.53,NORMAL,14.22,NORMAL
PNB,10.0,NORMAL,50.34,NORMAL,58.74,NORMAL,15.9,NORMAL,,TURNAROUND,,TURNAROUND,9.27,NORMAL,9.56,NORMAL,-8.76,NORMAL
POWERGRID,4.97,NORMAL,8.97,NORMAL,9.35,NORMAL,5.51,NORMAL,9.19,NORMAL,9.1,NORMAL,11.41,NORMAL,13.1,NORMAL,13.02,NORMAL
RECLTD,10.15,NORMAL,19.08,NORMAL,19.06,NORMAL,13.34,NORMAL,19.76,NORMAL,19.67,NORMAL,10.68,NORMAL,11.55,NORMAL,11.61,NORMAL
RELIANCE,24.46,NORMAL,13.71,NORMAL,9.35,NORMAL,9.61,NORMAL,14.68,NORMAL,11.95,NORMAL,7.57,NORMAL,13.36,NORMAL,12.29,NORMAL
SBILIFE,17.24,NORMAL,9.16,NORMAL,8.2,NORMAL,24.23,NORMAL,7.37,NORMAL,7.89,NORMAL,22.56,NORMAL,10.03,NORMAL,10.5,NORMAL
SBIN,16.45,NORMAL,42.79,NORMAL,44.22,NORMAL,11.63,NORMAL,83.41,NORMAL,90.37,NORMAL,8.79,NORMAL,16.73,NORMAL,14.72,NORMAL
SHREECEM,14.81,NORMAL,-9.49,NORMAL,-9.43,NORMAL,10.33,NORMAL,11.29,NORMAL,10.68,NORMAL,13.64,NORMAL,8.21,NORMAL,7.82,NORMAL
SHRIRAMFIN,27.83,NORMAL,43.59,NORMAL,29.4,NORMAL,18.56,NORMAL,23.49,NORMAL,14.29,NORMAL,15.68,NORMAL,18.48,NORMAL,13.49,NORMAL
SIEMENS,19.0,NORMAL,35.65,NORMAL,34.84,NORMAL,11.19,NORMAL,19.85,NORMAL,19.64,NORMAL,7.61,NORMAL,16.25,NORMAL,16.15,NORMAL
SUNPHARMA,13.13,NORMAL,61.72,NORMAL,49.38,NORMAL,10.78,NORMAL,24.54,NORMAL,29.46,NORMAL,11.67,NORMAL,9.5,NORMAL,10.31,NORMAL
TATACONSUM,9.44,NORMAL,9.32,NORMAL,10.06,NORMAL,15.96,NORMAL,21.6,NORMAL,14.87,NORMAL,6.99,NORMAL,9.07,NORMAL,5.54,NORMAL
TATAMOTORS,20.58,NORMAL,,TURNAROUND,,TURNAROUND,7.72,NORMAL,,TURNAROUND,,TURNAROUND,6.52,NORMAL,8.51,NORMAL,6.95,NORMAL
TATAPOWER,23.4,NORMAL,43.81,NORMAL,44.22,NORMAL,15.51,NORMAL,10.43,NORMAL,5.92,NORMAL,5.57,NORMAL,79.98,NORMAL,,TURNAROUND
TATASTEEL,13.61,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,7.77,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,4.43,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
TCS,13.63,NORMAL,12.29,NORMAL,13.01,NORMAL,10.46,NORMAL,7.87,NORMAL,8.62,NORMAL,11.4,NORMAL,9.08,NORMAL,9.99,NORMAL
TECHM,11.16,NORMAL,-18.04,NORMAL,-19.5,NORMAL,8.4,NORMAL,-10.99,NORMAL,-11.42,NORMAL,10.71,NORMAL,-2.42,NORMAL,-2.84,NORMAL
TITAN,33.14,NORMAL,53.11,NORMAL,52.48,NORMAL,20.9,NORMAL,20.27,NORMAL,19.51,NORMAL,16.68,NORMAL,16.88,NORMAL,17.16,NORMAL
TORNTPHARM,10.25,NORMAL,9.77,NORMAL,9.82,NORMAL,6.93,NORMAL,30.59,NORMAL,30.39,NORMAL,9.9,NORMAL,9.57,NORMAL,9.37,NORMAL
TRENT,68.36,NORMAL,,TURNAROUND,,TURNAROUND,36.31,NORMAL,73.11,NORMAL,69.52,NORMAL,18.16,NORMAL,,TURNAROUND,,TURNAROUND
TVSMOTOR,26.32,NORMAL,43.03,NORMAL,40.43,NORMAL,14.19,NORMAL,19.67,NORMAL,19.14,NORMAL,16.66,NORMAL,25.27,NORMAL,24.57,NORMAL
ULTRACEMCO,16.6,NORMAL,8.64,NORMAL,8.74,NORMAL,11.33,NORMAL,23.89,NORMAL,22.53,NORMAL,13.09,NORMAL,12.21,NORMAL,11.75,NORMAL
UNIONBANK,13.14,NORMAL,68.91,NORMAL,65.1,NORMAL,23.95,NORMAL,,TURNAROUND,,TURNAROUND,13.07,NORMAL,23.39,NORMAL,-3.97,NORMAL
UNITDSPR,11.66,NORMAL,57.26,NORMAL,56.05,NORMAL,3.92,NORMAL,15.53,NORMAL,13.7,NORMAL,0.75,NORMAL,,TURNAROUND,,TURNAROUND
VBL,35.49,NORMAL,80.57,NORMAL,81.71,NORMAL,25.74,NORMAL,47.61,NORMAL,43.1,NORMAL,22.46,NORMAL,,TURNAROUND,,ZERO_BASE
VEDL,17.76,NORMAL,-20.55,NORMAL,-29.2,NORMAL,9.32,NORMAL,-4.91,NORMAL,-10.35,NORMAL,8.07,NORMAL,-4.07,NORMAL,-6.26,NORMAL
WIPRO,13.17,NORMAL,0.74,NORMAL,3.23,NORMAL,8.75,NORMAL,4.26,NORMAL,9.46,NORMAL,7.53,NORMAL,3.35,NORMAL,6.25,NORMAL
ZOMATO,82.47,NORMAL,,TURNAROUND,,UNKNOWN,55.96,NORMAL,,TURNAROUND,,UNKNOWN,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA
ZYDUSLIFE,10.71,NORMAL,22.06,NORMAL,21.86,NORMAL,8.22,NORMAL,15.91,NORMAL,16.12,NORMAL,10.47,NORMAL,16.87,NORMAL,16.86,NORMAL
